Gastos  - Brotherscan Seeds,,,,,,,,
,,,,,,,,
Fecha,Concepto,Monto,Medio Pago,Estado de pago,,,,
2025,,,,,,,,
28/11,Charla Asesoría Legal - Juan Palomino," $60,000.00",,,Servicios,,,
Diciembre,," $2,112,956.00",,,,,,
05/12,Alquiler," $200,000.00",,,Alquiler,,,
01/12,Metrogas," $4,070.00",,,Servicios,,,
05/12,Internet," $12,000.00",,,Servicios,,,
15/12,Edesur," $351,886.00",,,Servicios,,,
02/12,Sensores suelo," $19,000.00",,,Insumos varios,,,
5/12,Arreglo Baño," $100,000.00",,,Insumos varios,,,
5/12,Cena equipo," $70,000.00",,,Otros gastos,,,
8/12,Almuerzo," $15,000.00",,,Otros gastos,,,
8/12,Mantenimiento Aire acondicionado ," $60,000.00",,,Insumos Indoor,,,
9/12,Llaves de paso riego x 3," $37,000.00",,,Insumos Indoor,,,
14/12,5 frascos extraciones ," $8,500.00",,,Insumos Indoor,,,
14/12,Conectores sistema de riego," $12,000.00",,,Insumos Indoor,,,
15/12,Deshumificador Trotec 50L," $1,036,000.00",,,Insumos Indoor,,,
16/12,Vidrio para ventana del baño ," $17,000.00",,,Gastos estructurales,,,
16/12,Pintura y pincel para ventana del baño ," $15,500.00",,,Gastos estructurales,,,
16/12,"Mecha copa, mecha cepillo"," $50,000.00",,,Insumos varios,,,
16/12,2 prensas sargento y pegamento madera," $25,000.00",,,Insumos Indoor,,,
16/12,Gastos puesta a punto deshumidificador ," $13,000.00",,,Insumos Indoor,,,
22/12,Enchufe adaptador deshumidificador ," $5,000.00",,,Insumos Indoor,,,
22/12,Cerraduras cocina y flora," $45,000.00",,,Gastos estructurales,,,
24/12,Almacen," $17,000.00",,,Insumos varios,,,
2026,,,,,,,,
Enero,," $1,580,572.00",,,,,,
30/12,Alquiler," $200,000.00",,,Alquiler,,,
05/01,Metrogas," $4,070.00",,,Servicios,,,
29/12,Internet," $12,000.00",,,Servicios,,,
12/01,Edesur," $555,802.00",,,Servicios,,,
01/01,Almuerzo ," $10,000.00",,,Insumos varios,,,
01/01,Cerradura Instalacion," $196,000.00",,,Gastos estructurales,,,
01/01,Térmicas nuevas x 2," $24,000.00",,,Gastos estructurales,,,
01/01,Materiales electricos," $100,000.00",,,Gastos estructurales,,,
02/01,Lamparas Led 50W x 6," $56,500.00",,,Insumos Indoor,,,
07/01,Pilas y aromatizante ambiente," $10,000.00",,,Insumos varios,,,
07/01,Gastos cables electricidad," $200,000.00",,,Gastos estructurales,,,
19/01,Pistola Riego," $37,200.00",,,Insumos varios,,,
20/01,Etiquetas," $40,000.00",,,Publicidad y cursos,,,
21/01,Viáticos Electricista," $50,000.00",,,Gastos estructurales,,,
22/01,Arreglo Led," $85,000.00",,,Insumos Indoor,,,
Febrero,," $1,710,741.00",,,,,,
07/02,Alquiler," $200,000.00",,,Alquiler,,,
02/02,Metrogas," $4,263.00",,,Servicios,,,
02/02,Internet," $12,000.00",,,Servicios,,,
09/02,Edesur," $592,569.00",,,Servicios,,,
07/02,Picada cosecha ," $20,000.00",,,Insumos varios,,,
07/02,Empanadas," $56,000.00",,,Insumos varios,,,
07/02,Papel higiénico y Agua," $8,000.00",,,Insumos varios,,,
13/02,Cremona," $10,000.00",,,Insumos varios,,,
13/02,Turba carluccio 70L x12," $271,615.00",,,Insumos Indoor,,,
13/02,Feeding Calcium 1kg," $65,294.00",,,Insumos Indoor,,,
13/02,santa planta otros gastos," $152,000.00",,"Sedas, reguladores de humedad, 2 tijeras, maya de secado, 100 macetas sopladas de 7",Insumos Indoor,,,
